resource,dxbc_ordinal,source_offset,size,stage,shader_model,sha256,markers
base/additivescrollskinned.ssh,1,0x00003b5c,2660,vertex,5_0,1e3205e658f6b7aa9f6a04450a059c3076cd7ea884acb63f4f64e2708d373cd1,objectToScreenMatrix;boneMatrix
base/additivescrollstatic.ssh,1,0x00003010,1884,vertex,5_0,3d93f70ccce72c0b682212a9ee3aba6565318c2ba24f7fa0ef7aa6b53680ef27,objectToScreenMatrix;boneMatrix
base/additivescrollstaticfadein.ssh,1,0x00003356,1952,vertex,5_0,4181bcc89041713396ccf7e8e7d09f9778656d8c7c5226796decd167d2a8e6ab,objectToScreenMatrix;boneMatrix
base/additivescrollvertexcolorskinned.ssh,1,0x00003cdc,2732,vertex,5_0,cf72bd1326663ad2a26f9a196385a07bad2315a7dd8cf149c1c0e0db4638a7ee,objectToScreenMatrix;boneMatrix
base/additivescrollvertexcolorstatic.ssh,1,0x000031d8,1952,vertex,5_0,33008d661f200d7b27b56d3ea36da7d8b897940a4d2660a660251c0ad118e367,objectToScreenMatrix;boneMatrix
base/additivescrollwiggleskinned.ssh,1,0x000053d4,2964,vertex,5_0,15510e31ac56f0a622c78ba0bce5a552f21f633e8328ca566efb94e3994da297,objectToScreenMatrix;boneMatrix
base/additivescrollwigglestatic.ssh,1,0x00004810,2184,vertex,5_0,78768b8c955a8904f3827ef2f548e42de7ce3a574eca452c78112f775a2fde8f,objectToScreenMatrix;boneMatrix
base/basic.ssh,1,0x00000ce1,960,vertex,5_0,a33f1c4dc2f1728570c8b2b1efca2877a83fde60e2b05b36881394cf92116f4d,objectToScreenMatrix
base/basictexture.ssh,1,0x00001928,1064,vertex,5_0,efc1392b4135900113d55433fecac4e25d377bb82f9e94568c544c8f11019611,objectToScreenMatrix
base/bifrostskinned.ssh,1,0x00003f43,2756,vertex,5_0,a01c3c2811f22f138fb90171d838b09f5475b8f763b485d1d570c691b9566987,objectToScreenMatrix;boneMatrix
base/bifrostskinned.ssh,2,0x00004ada,2916,pixel,5_0,5e016b51774f83975205f09bc0195366a78b0c18b963606070255dd061e18151,objectToScreenMatrix;boneMatrix
base/debug/impassable.ssh,1,0x00000ce1,960,vertex,5_0,a33f1c4dc2f1728570c8b2b1efca2877a83fde60e2b05b36881394cf92116f4d,objectToScreenMatrix
base/debug.ssh,1,0x00000041,928,vertex,5_0,e0abae11c641b195a8db4402391f697161a9147b01a69e9ee75d0726e190481f,objectToScreenMatrix
base/detailmapshader.ssh,1,0x000020a8,1136,vertex,5_0,95b8667c3c5bc50a4a6d47e543d3bc9094b9d5396cc826c419983ba18a936acc,objectToScreenMatrix
base/distortadditiveskinned.ssh,1,0x000086d1,4028,vertex,5_0,205d619ea465806318bb90ded1dad6bea1be2450ad63c2427f3c05ee8bac8a72,objectToScreenMatrix;boneMatrix
base/distortadditiveskinned.ssh,2,0x00009761,2672,pixel,5_0,75cc8b627519ee8329062300f82a63af712ea98a4b21c5027ea79ea33a2c9191,objectToScreenMatrix;boneMatrix
base/distortadditiveskinned.ssh,3,0x0000a33d,3736,vertex,5_0,e790eb1d4b2c4e98b23effed3351b95072e95289d83fa1fb239ed1cd4987873e,objectToScreenMatrix;boneMatrix
base/distortadditiveskinned.ssh,4,0x0000b2b9,2220,pixel,5_0,295a87d122381f8e0f32f55b526766e4e26b7e227b0047120181900fd11dcc0e,objectToScreenMatrix;boneMatrix;baseMap
base/distortadditivestatic.ssh,1,0x000069cd,2892,vertex,5_0,35f6a03203bc5141744b819216c6bb873efd076d02dbea4afd7079b858258d39,objectToScreenMatrix;boneMatrix
base/distortadditivestatic.ssh,2,0x000075eb,2672,pixel,5_0,75cc8b627519ee8329062300f82a63af712ea98a4b21c5027ea79ea33a2c9191,objectToScreenMatrix;boneMatrix
base/distortadditivestatic.ssh,3,0x000081c7,2600,vertex,5_0,fe7f398c3a828643c0d08b7b15a2b9b370d227f4d3088f19910e74165ca5a060,objectToScreenMatrix;boneMatrix
base/distortadditivestatic.ssh,4,0x00008cd1,2220,pixel,5_0,295a87d122381f8e0f32f55b526766e4e26b7e227b0047120181900fd11dcc0e,objectToScreenMatrix;boneMatrix;baseMap
base/distortadditivewiggleskinned.ssh,1,0x0000ad95,4684,vertex,5_0,18aa4582149191ad4c8f9709dade34d7983a5da18055da52ed76c9aeac3c8627,objectToScreenMatrix;boneMatrix
base/distortadditivewiggleskinned.ssh,2,0x0000c116,3000,pixel,5_0,717245809f2e9394edd72718672547345fe99d371e84c133ba468ab850d86163,objectToScreenMatrix;boneMatrix
base/distortadditivewiggleskinned.ssh,3,0x0000ce9a,4392,vertex,5_0,0c3180557cf58b98a1f7c7e08f0a0ed4c19fc442145825863f662c1800ca2ac2,objectToScreenMatrix;boneMatrix
base/distortadditivewiggleskinned.ssh,4,0x0000e107,2548,pixel,5_0,c771b7b58160a2804567ba609f72dc31de2850a581af44fd55141566516320ff,objectToScreenMatrix;boneMatrix;baseMap
base/distortadditivewigglestatic.ssh,1,0x00008ff1,3524,vertex,5_0,67516bd2bbce650923c44cf75483fb1d4c57ba67f04fc293c26a8f0f65864d6b,objectToScreenMatrix;boneMatrix
base/distortadditivewigglestatic.ssh,2,0x00009ee8,3000,pixel,5_0,717245809f2e9394edd72718672547345fe99d371e84c133ba468ab850d86163,objectToScreenMatrix;boneMatrix
base/distortadditivewigglestatic.ssh,3,0x0000ac6c,3232,vertex,5_0,5617a569fffa9fa816ccb1cc7c34f77976e5861980bbb36223ff198972a61c02,objectToScreenMatrix;boneMatrix
base/distortadditivewigglestatic.ssh,4,0x0000ba4f,2548,pixel,5_0,c771b7b58160a2804567ba609f72dc31de2850a581af44fd55141566516320ff,objectToScreenMatrix;boneMatrix;baseMap
base/distortskinned.ssh,1,0x000088e1,4028,vertex,5_0,205d619ea465806318bb90ded1dad6bea1be2450ad63c2427f3c05ee8bac8a72,objectToScreenMatrix;boneMatrix
base/distortskinned.ssh,2,0x00009971,2744,pixel,5_0,1952c9b3e16447be05b3d9b41749d4a8130929f0e8a3f87537ddf589440480d3,objectToScreenMatrix;boneMatrix
base/distortskinned.ssh,3,0x0000a595,3736,vertex,5_0,e790eb1d4b2c4e98b23effed3351b95072e95289d83fa1fb239ed1cd4987873e,objectToScreenMatrix;boneMatrix
base/distortskinned.ssh,4,0x0000b511,2220,pixel,5_0,295a87d122381f8e0f32f55b526766e4e26b7e227b0047120181900fd11dcc0e,objectToScreenMatrix;boneMatrix;baseMap
base/distortstatic.ssh,1,0x00006b95,2892,vertex,5_0,35f6a03203bc5141744b819216c6bb873efd076d02dbea4afd7079b858258d39,objectToScreenMatrix;boneMatrix
base/distortstatic.ssh,2,0x000077b3,2744,pixel,5_0,1952c9b3e16447be05b3d9b41749d4a8130929f0e8a3f87537ddf589440480d3,objectToScreenMatrix;boneMatrix
base/distortstatic.ssh,3,0x000083d7,2600,vertex,5_0,fe7f398c3a828643c0d08b7b15a2b9b370d227f4d3088f19910e74165ca5a060,objectToScreenMatrix;boneMatrix
base/distortstatic.ssh,4,0x00008ee1,2220,pixel,5_0,295a87d122381f8e0f32f55b526766e4e26b7e227b0047120181900fd11dcc0e,objectToScreenMatrix;boneMatrix;baseMap
base/distortwiggleskinned.ssh,1,0x0000afa5,4684,vertex,5_0,18aa4582149191ad4c8f9709dade34d7983a5da18055da52ed76c9aeac3c8627,objectToScreenMatrix;boneMatrix
base/distortwiggleskinned.ssh,2,0x0000c326,3072,pixel,5_0,bbd486afbde29077780bb449be95dc54bed8e7dcb6ba17cde7125080b10f9c6e,objectToScreenMatrix;boneMatrix
base/distortwiggleskinned.ssh,3,0x0000d0f2,4392,vertex,5_0,0c3180557cf58b98a1f7c7e08f0a0ed4c19fc442145825863f662c1800ca2ac2,objectToScreenMatrix;boneMatrix
base/distortwiggleskinned.ssh,4,0x0000e35f,2548,pixel,5_0,c771b7b58160a2804567ba609f72dc31de2850a581af44fd55141566516320ff,objectToScreenMatrix;boneMatrix;baseMap
base/distortwigglestatic.ssh,1,0x00009201,3524,vertex,5_0,67516bd2bbce650923c44cf75483fb1d4c57ba67f04fc293c26a8f0f65864d6b,objectToScreenMatrix;boneMatrix
base/distortwigglestatic.ssh,2,0x0000a0f8,3072,pixel,5_0,bbd486afbde29077780bb449be95dc54bed8e7dcb6ba17cde7125080b10f9c6e,objectToScreenMatrix;boneMatrix
base/distortwigglestatic.ssh,3,0x0000aec4,3232,vertex,5_0,5617a569fffa9fa816ccb1cc7c34f77976e5861980bbb36223ff198972a61c02,objectToScreenMatrix;boneMatrix
base/distortwigglestatic.ssh,4,0x0000bca7,2548,pixel,5_0,c771b7b58160a2804567ba609f72dc31de2850a581af44fd55141566516320ff,objectToScreenMatrix;boneMatrix;baseMap
base/editor/editorinvert.ssh,1,0x00000f62,956,vertex,5_0,880049291c37393b75c4e0e2c2ce7e354a22a163f320849fac531266554af14a,objectToScreenMatrix
base/editorbasic.ssh,1,0x00000c64,928,vertex,5_0,3e03e5b2fe9380e0b45875d05726757fd0e61207d1508910221c6132a3cad0df,objectToScreenMatrix
base/editorhighlight.ssh,1,0x000007a5,928,vertex,5_0,74ec2c2ba132efb3b501be85be5bfffe3b82abb68f6104d7c7768747979874c2,objectToScreenMatrix
base/editorinvert.ssh,1,0x00000f5f,956,vertex,5_0,880049291c37393b75c4e0e2c2ce7e354a22a163f320849fac531266554af14a,objectToScreenMatrix
base/effects/bark.ssh,1,0x0001aa79,2752,vertex,5_0,c350e95e0b72546dd1c77c2d964175c9d08a5d828084cd5e9c82f5aa2863432e,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/bark.ssh,2,0x0001b64b,2244,pixel,5_0,00ece9a6e44899761b698d6464d081d5d74f6a9a812a8cfbde3bb52243321360,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/bark.ssh,3,0x0001c02b,2672,vertex,5_0,383897708fc53f2fca3dd0f43ecd48ca4cb09be81938ca5c9a17bbf6bb0cfdb2,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/bark.ssh,4,0x0001cbad,3088,pixel,5_0,ef4ebe8f3ca823a89d1275abec09945fc1222fb2f043ef4e7483ad8b92cab5d7,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/bark.ssh,5,0x0001d8d9,3500,vertex,5_0,cf9a07fe4709fdd9a78635d5b39b1f6a9f39dd94a87dd9df2ab41632ec2528a2,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/bark.ssh,6,0x0001e797,3916,pixel,5_0,fb0a49d5af0a68e53f3c0084e9094881425674084e8780fb403be8606e607eb6,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/bark.ssh,7,0x0001f7f7,2012,vertex,5_0,3ea33b9a6000d6d710b83e70cf5857e80409b33f865f2fab3f83674507ecf464,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/bark.ssh,9,0x00020365,2732,vertex,5_0,829f08311bc03895d672211fd4ceb64e0d1dfa9d3b9e49923ed139a2a1ef5eda,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/bark.ssh,10,0x00020f33,2352,pixel,5_0,bea3ce8b5272ada38f1255d640784ae214548da0a45c9317bc99ba50ae5a948f,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix;baseMap
base/effects/chaos.ssh,1,0x000010c5,1060,vertex,5_0,1fcc0d1b7a200812e3eff2cdabd254845df005aa3f498e92792724c04fbae3fe,objectToScreenMatrix
base/effects/decaladditive.ssh,1,0x00000cf5,1128,vertex,5_0,aabc07cf3a2601e59f24619f65b66cade41cf901b516ed3aae09dd03b381b994,objectToScreenMatrix
base/effects/decalbump.ssh,1,0x000025ea,1572,vertex,5_0,b1ca6b476ef84be21b50a2fc615330cbefa416ad53b6b5994521ccbb6328a69c,objectToScreenMatrix
base/effects/foliage.ssh,1,0x00017250,2596,vertex,5_0,a1dcf39c34192d829e96ba96185c0645572502fe7daabdcd51eae80ece065e33,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliage.ssh,3,0x000180d6,2404,vertex,5_0,a4051f18fc7be7a9e363a9219ffaff629c6c90c0d54acf6d705521b1b417773f,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliage.ssh,4,0x00018b3c,2336,pixel,5_0,4e810f6679c9bbd7c4d9795ac8b9deb41bc2f5121c8e97188f0e938e6241626a,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliageshadowonly.ssh,1,0x00003272,2204,vertex,5_0,300058f5fda5003af5915842c6bdcb23d66cb22facc66b9357b616f771e9a7c4,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliageshadowonly.ssh,2,0x00003c0a,2380,vertex,5_0,9fbd95537fb9e2948eff9e52d3f2f2fd43fbfcc9172f8b20cae5cd2e293e0ef2,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,1,0x0001dcfe,2728,vertex,5_0,e1fdc4631b877ce7ea02caac032254178b0a74ebb693f188673528a1b6a5e604,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,2,0x0001e8f8,2208,pixel,5_0,d38030309afd0ce71290bef08dff6e9eae02035b74dafb2dc58d5eee0862fe18,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,3,0x0001f304,3152,vertex,5_0,2bbc5663edffc3a86e8a457045c011f8d1383fad160d8a2d0db159cc4b862b85,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,4,0x000200a6,3248,pixel,5_0,c969605f2fc78cd14297fc7d6981bce3975095c759e4eff60bf668d1512e5600,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,5,0x00020ea2,3228,pixel,5_0,4bf136906ae373d729e1f40ffc9430d8858bf0598b000d3a5c632fa3258e8350,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,6,0x00021d02,3508,vertex,5_0,2503606760d3f9ca16e855fe79e6cfeb33afbc13481e12ff73ba4f3779a7fd81,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,7,0x00022c08,3028,pixel,5_0,7ac8b9829ba9b56d57c5560b21f6b51718c5ee1b5b3f1a1f022cc25a42e9f95e,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,8,0x00023928,3008,pixel,5_0,b93a5b303f7b5d5b8658c38626b6c826ba48e48fbc4d60dc960ab1ead759dfa7,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,9,0x000246a4,2924,vertex,5_0,cc20c0a08d2a780565bd57dbeaad17abcf05f9b9ee155db4e48805f47fb71175,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,11,0x000256d2,2532,vertex,5_0,e2c7b11c2f355ff2c99be602826b8e8ce88586b3bb04a17aad47f6b54c89a0fc,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/foliaget.ssh,13,0x00026548,2236,vertex,5_0,40f1bf4f8d6696d5464a45f01ba676089f9f4471b7e55c5c5bb370dd1f9ac9cc,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/effects/trailadditive.ssh,1,0x00000e5a,1060,vertex,5_0,1fcc0d1b7a200812e3eff2cdabd254845df005aa3f498e92792724c04fbae3fe,objectToScreenMatrix
base/effects/trailaddsmooth.ssh,1,0x00000eba,1060,vertex,5_0,1fcc0d1b7a200812e3eff2cdabd254845df005aa3f498e92792724c04fbae3fe,objectToScreenMatrix
base/foliaget.ssh,1,0x00017250,2596,vertex,5_0,a1dcf39c34192d829e96ba96185c0645572502fe7daabdcd51eae80ece065e33,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliaget.ssh,3,0x000180d6,2404,vertex,5_0,a4051f18fc7be7a9e363a9219ffaff629c6c90c0d54acf6d705521b1b417773f,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliaget.ssh,4,0x00018b3c,2336,pixel,5_0,4e810f6679c9bbd7c4d9795ac8b9deb41bc2f5121c8e97188f0e938e6241626a,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,1,0x0001dcfe,2728,vertex,5_0,e1fdc4631b877ce7ea02caac032254178b0a74ebb693f188673528a1b6a5e604,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,2,0x0001e8f8,2208,pixel,5_0,d38030309afd0ce71290bef08dff6e9eae02035b74dafb2dc58d5eee0862fe18,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,3,0x0001f304,3152,vertex,5_0,2bbc5663edffc3a86e8a457045c011f8d1383fad160d8a2d0db159cc4b862b85,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,4,0x000200a6,3248,pixel,5_0,c969605f2fc78cd14297fc7d6981bce3975095c759e4eff60bf668d1512e5600,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,5,0x00020ea2,3228,pixel,5_0,4bf136906ae373d729e1f40ffc9430d8858bf0598b000d3a5c632fa3258e8350,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,6,0x00021d02,3508,vertex,5_0,2503606760d3f9ca16e855fe79e6cfeb33afbc13481e12ff73ba4f3779a7fd81,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,7,0x00022c08,3028,pixel,5_0,7ac8b9829ba9b56d57c5560b21f6b51718c5ee1b5b3f1a1f022cc25a42e9f95e,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,8,0x00023928,3008,pixel,5_0,b93a5b303f7b5d5b8658c38626b6c826ba48e48fbc4d60dc960ab1ead759dfa7,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,9,0x000246a4,2924,vertex,5_0,cc20c0a08d2a780565bd57dbeaad17abcf05f9b9ee155db4e48805f47fb71175,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,11,0x000256d2,2532,vertex,5_0,e2c7b11c2f355ff2c99be602826b8e8ce88586b3bb04a17aad47f6b54c89a0fc,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/foliagett.ssh,13,0x00026548,2236,vertex,5_0,40f1bf4f8d6696d5464a45f01ba676089f9f4471b7e55c5c5bb370dd1f9ac9cc,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix
base/fow.ssh,1,0x000026ae,960,vertex,5_0,d2ab1dc7976775ae8acb4471160388d55c08655359eedeb3d508af812db3a2b7,objectToScreenMatrix
base/grass.ssh,1,0x00017482,2704,vertex,5_0,ae295f6c2a732d91238e99bae17102c9e41dafebbbcad073d4815abde0563502,objectToScreenMatrix
base/grass.ssh,3,0x00018493,2488,vertex,5_0,1175148f07a85bc1ab1b5996b1f3bdd5b6b3166f696eec5ad5f70865857813c2,objectToScreenMatrix
base/grass.ssh,4,0x00018f3c,2128,pixel,5_0,ebb2befbe477a3c5d7dd0579d341a05c8fe2a33c8fece8d976e2c95d146b61b1,objectToScreenMatrix
base/iridescentskinned.ssh,1,0x00020952,4240,vertex,5_0,ece93841d0a9937a0c9a125d5463dc0f6a7ddf178daca9b0929a03d82c427b73,worldToShadowMatrix;shadowBluriness;objectToScreenMatrix;boneMatrix
